country,HDI.1975,HDI.1976,HDI.1977,HDI.1978,HDI.1979,HDI.1980,HDI.1981,HDI.1982,HDI.1983,HDI.1984,HDI.1985,HDI.1986,HDI.1987,HDI.1988,HDI.1989,HDI.1990,HDI.1991,HDI.1992,HDI.1993,HDI.1994,HDI.1995,HDI.1996,HDI.1997,HDI.1998,HDI.1999,HDI.2000,HDI.2001,HDI.2002,HDI.2003,HDI.2004,HDI.2005,TFR.1975,TFR.1976,TFR.1977,TFR.1978,TFR.1979,TFR.1980,TFR.1981,TFR.1982,TFR.1983,TFR.1984,TFR.1985,TFR.1986,TFR.1987,TFR.1988,TFR.1989,TFR.1990,TFR.1991,TFR.1992,TFR.1993,TFR.1994,TFR.1995,TFR.1996,TFR.1997,TFR.1998,TFR.1999,TFR.2000,TFR.2001,TFR.2002,TFR.2003,TFR.2004,TFR.2005,aTFR.1975,aTFR.1976,aTFR.1977,aTFR.1978,aTFR.1979,aTFR.1980,aTFR.1981,aTFR.1982,aTFR.1983,aTFR.1984,aTFR.1985,aTFR.1986,aTFR.1987,aTFR.1988,aTFR.1989,aTFR.1990,aTFR.1991,aTFR.1992,aTFR.1993,aTFR.1994,aTFR.1995,aTFR.1996,aTFR.1997,aTFR.1998,aTFR.1999,aTFR.2000,aTFR.2001,aTFR.2002,aTFR.2003,aTFR.2004,aTFR.2005,dmeanage1.1975,dmeanage1.1976,dmeanage1.1977,dmeanage1.1978,dmeanage1.1979,dmeanage1.1980,dmeanage1.1981,dmeanage1.1982,dmeanage1.1983,dmeanage1.1984,dmeanage1.1985,dmeanage1.1986,dmeanage1.1987,dmeanage1.1988,dmeanage1.1989,dmeanage1.1990,dmeanage1.1991,dmeanage1.1992,dmeanage1.1993,dmeanage1.1994,dmeanage1.1995,dmeanage1.1996,dmeanage1.1997,dmeanage1.1998,dmeanage1.1999,dmeanage1.2000,dmeanage1.2001,dmeanage1.2002,dmeanage1.2003,dmeanage1.2004,dmeanage1.2005
Albania,,,,,,0.731273056,0.734932246,0.737145554,0.738451574,0.738363984,0.739847926,0.74325013,0.743076676,0.740635218,0.744553091,0.738140098,0.719994584,0.716684067,0.724300556,0.731882681,0.739088746,0.746219216,0.742373637,0.75346017,0.763131966,0.770097704,0.77495915,0.776812219,0.780635491,0.786055455,0.789565763,4.202,4.202,4.202,4.0422,3.8824,3.7226,3.5628,3.403,3.3376,3.2722,3.2068,3.1414,3.076,3.0168,2.9576,2.8984,2.8392,2.78,2.71,2.64,2.57,2.5,2.43,2.4014,2.3728,2.3442,2.3156,2.287,2.0385,1.79,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0.565066871,0.57096611,0.575103358,0.581994626,0.587975511,0.590364997,0.593945532,0.599330683,0.605605264,0.612035085,0.617522738,0.621287074,0.624509945,0.627566735,0.633625911,0.63777281,0.640837427,0.646658757,0.649621971,0.653356845,0.659779434,0.666476995,0.671643692,0.67967862,0.686713995,0.693957401,0.700105886,0.708720108,0.71504594,0.720284131,0.724953131,7.56098432,7.364208,7.175,7.038,6.901,6.764,6.627,6.49,6.25,6.01,5.77,5.53,5.29,5.058,4.826,4.594,4.362,4.13,3.8806,3.6312,3.3818,3.1324,2.883,2.8124,2.7418,2.6712,2.6006,2.53,2.5016,2.4732,2.4448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0.427032369,0.427252059,0.4274633,0.428155305,0.428839498,0.429516179,0.424447244,0.42296502,0.423151062,0.4243947,0.424475786,0.424370397,0.427106516,0.428858562,0.427738731,0.426095234,0.423788674,0.417454678,0.399497784,0.39931803,0.402871715,0.406984767,0.409537018,0.412042712,0.412623783,0.414328208,0.416006722,0.422718824,0.425106001,0.430429939,0.440799537,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.18,7.16,7.14,7.12,7.1,7.06,7.02,6.98,6.94,6.9,6.87,6.84,6.81,6.78,6.75,6.6864,6.6228,6.5592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.796895676,0.796294282,0.800532019,0.798749194,0.804949006,0.807988581,0.805496345,0.803429833,0.805606351,0.806889368,0.802574353,0.806876545,0.80856647,0.807539888,0.803628855,0.802711972,0.809793076,0.818646554,0.824433663,0.83020316,0.831233472,0.836884503,0.843902633,0.848649132,0.849401524,0.852974457,0.853845051,0.849377494,0.84884164,0.854686208,0.860096634,3.53364416,3.485904,3.44,3.382,3.324,3.266,3.208,3.15,3.1306,3.1112,3.0918,3.0724,3.053,3.0224,2.9918,2.9612,2.9306,2.9,2.846,2.792,2.738,2.684,2.63,2.574,2.518,2.462,2.406,2.35,2.3308,2.3116,2.2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,0.700787712,0.702149028,0.703451552,0.705567048,0.709624439,0.71393762,0.717967961,0.721675788,0.722019331,0.722200654,0.722092124,0.721840562,0.721349831,0.723617644,0.725408111,0.726817093,0.720930108,0.692328761,0.690389716,0.696529997,0.703265516,0.709184655,0.713515786,0.722138087,0.728557657,0.736397472,0.742115183,0.749839,0.757185451,0.768671495,0.777664915,2.503,2.503,2.503,2.4776,2.4522,2.4268,2.4014,2.376,2.4158,2.4556,2.4954,2.5352,2.575,2.536,2.497,2.458,2.419,2.38,2.254,2.128,2.002,1.876,1.75,1.733333333,1.716666667,1.7,1.517,1.334,1.357,1.38,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0.856418407,0.857742049,0.859507393,0.86295765,0.86592987,0.86894169,0.871626597,0.870707119,0.87389856,0.877509667,0.880497556,0.882179353,0.885862533,0.888712129,0.891478479,0.891893525,0.892808009,0.898825036,0.907389044,0.913303108,0.920057498,0.927223441,0.934503873,0.942443385,0.949753646,0.954268513,0.955338016,0.96214443,0.96544102,0.963934218,0.965647136,2.148,2.06,2.007,1.949,1.907,1.891,1.935,1.929,1.924,1.84,1.923,1.868,1.845,1.831,1.838,1.902,1.849,1.888,1.859,1.842,1.822,1.796,1.778,1.762,1.755,1.756,1.729,1.759,1.754,1.774,1.774406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0,0,0,0
Austria,0.844760239,0.849874426,0.854348125,0.854713814,0.859479526,0.861198533,0.862885185,0.864664434,0.86690258,0.869997682,0.872588433,0.876383386,0.879654581,0.88402663,0.8862685,0.889763026,0.891307486,0.895177778,0.896578699,0.900845425,0.904021127,0.90772271,0.91179497,0.916557654,0.919020801,0.923672257,0.927199014,0.925249763,0.926615197,0.931555413,0.933925157,1.82,1.698,1.641,1.621,1.6,1.62,1.67,1.66,1.56,1.53,1.46,1.47,1.42,1.43,1.45,1.45,1.5,1.49,1.48,1.44,1.4,1.42,1.36,1.34,1.34,1.36,1.33,1.4,1.38,1.42,1.41,1.82,1.698,1.641,1.621,1.6,1.62,1.67,1.66,1.56,1.53,1.726267428,1.68945961,1.642162314,1.598725883,1.662277714,1.611594447,1.574425597,1.599206378,1.720234928,1.795294131,1.73339908,1.72069144,1.579993817,1.56631867,1.518455747,1.5839486,1.607135822,1.670073864,1.575093133,1.637483934,1.724054451,0,0,0,0,0,0,0,0,0,0,0.22,0.1,0.21,0.1,0.1,0.14,-0.01,0.09,0.09,0.26,0.25,0.25,0.1,0.14,0.16,0.1,0.15,0.21,0.18,0.11,0.22
Azerbaijan,,,,,,,,,,,,,,,,0.770722523,0.76666317,0.745701042,0.727993975,0.713356128,0.701340182,0.705386462,0.711606845,0.717206823,0.719849156,0.726789473,0.733976537,0.740911198,0.747994274,0.753549944,0.765501922,3.92,3.77,3.62,3.5445,3.469,3.22,3.2383,3.2566,3.141066667,3.025533333,2.91,2.9,2.9026,2.8,2.8,2.74,2.87,2.74,2.7,2.52,2.29,2.06,2.07,2,2.07,2.07,2.07,2.07,2.07,2.0535,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0.773655346,0.774279264,0.774879186,0.779222144,0.783542917,0.787842356,0.786391299,0.783803044,0.787043266,0.789582506,0.786652482,0.787044374,0.792264844,0.795450125,0.795068986,0.796907843,0.802265455,0.805566056,0.812167366,0.811934844,0.814038556,0.816281789,0.818032416,0.820383136,0.822632269,0.827501634,0.831724711,0.836504394,0.84221204,0.845558138,0.849950854,5.228,5.228,5.228,5.109,4.99,4.871,4.752,4.633,4.5224,4.4118,4.3012,4.1906,4.08,3.9362,3.7924,3.6486,3.5048,3.361,3.239,3.117,2.995,2.873,2.751,2.6946,2.6382,2.5818,2.5254,2.469,2.4274,2.3858,2.3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0.387413871,0.389184115,0.389373185,0.395334908,0.400088115,0.402661071,0.406827989,0.410205191,0.414347571,0.419123298,0.422880199,0.427217966,0.43130501,0.434949469,0.438841591,0.444503281,0.448772838,0.456651593,0.464531132,0.472172237,0.480292265,0.488285265,0.496713541,0.50405901,0.511230715,0.519068968,0.526875383,0.530901162,0.534584425,0.538747889,0.543572677,5.6,5.6,5.6,5.53,5.46,5.39,5.32,5.25,5.1258,5.0016,4.8774,4.7532,4.629,4.5266,4.4242,4.3218,4.2194,4.117,4.0028,3.8886,3.7744,3.6602,3.546,3.4368,3.3276,3.2184,3.1092,3,3,2.99,2.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
